,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
0,,,,,,,,,,,,,,,Wes Studi,,avatar|future|marine|native|paraplegic,,,,,,,,,,,
1,,,,,,,,,,,,,,,Jack Davenport,,goddess|marriage ceremony|marriage proposal|pirate|singapore,,,,,,,,,,,
2,,,,,,,,,,,,,,,Stephanie Sigman,,bomb|espionage|sequel|spy|terrorist,,,,,,,,,,,
3,,,,,,,,,,,,,,,Joseph Gordon-Levitt,,deception|imprisonment|lawlessness|police officer|terrorist plot,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,Polly Walker,,alien|american civil war|male nipple|mars|princess,,,,,,,,,,,
6,,,,,,,,,,,,,,,Kirsten Dunst,,sandman|spider man|symbiote|venom|villain,,,,,,,,,,,
7,,,,,,,,,,,,,,,M.C. Gainey,,17th century|based on fairy tale|disney|flower|tower,,,,,,,,,,,
8,,,,,,,,,,,,,,,Scarlett Johansson,,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,,,,,,,,,,,
9,,,,,,,,,,,,,,,Rupert Grint,,blood|book|love|potion|professor,,,,,,,,,,,
10,,,,,,,,,,,,,,,Alan D. Purwin,,based on comic book|batman|sequel to a reboot|superhero|superman,,,,,,,,,,,
11,,,,,,,,,,,,,,,Frank Langella,,crystal|epic|lex luthor|lois lane|return to earth,,,,,,,,,,,
12,,,,,,,,,,,,,,,Rory Kinnear,,action hero|attempted rape|bond girl|official james bond series|revenge,,,,,,,,,,,
13,,,,,,,,,,,,,,,Jack Davenport,,box office hit|giant squid|heart|liar's dice|monster,,,,,,,,,,,
14,,,,,,,,,,,,,,,Tom Wilkinson,,horse|outlaw|texas|texas ranger|train,,,,,,,,,,,
15,,,,,,,,,,,,,,,Harry Lennix,,based on comic book|british actor playing american character|final battle|origin of hero|reboot,,,,,,,,,,,
16,,,,,,,,,,,,,,,Damián Alcázar,,brother brother relationship|brother sister relationship|good versus evil|king|narnia,,,,,,,,,,,
17,,,,,,,,,,,,,,,Scarlett Johansson,,alien invasion|assassin|battle|iron man|soldier,,,,,,,,,,,
18,,,,,,,,,,,,,,,Stephen Graham,,blackbeard|captain|pirate|revenge|soldier,,,,,,,,,,,
19,,,,,,,,,,,,,,,Nicole Scherzinger,,alien|criminal|m.i.b.|maximum security prison|prison,,,,,,,,,,,
20,,,,,,,,,,,,,,,James Nesbitt,,army|elf|hobbit|middle earth|orc,,,,,,,,,,,
21,,,,,,,,,,,,,,,Chris Zylka,,lizard|outcast|spider|spider man|teenager,,,,,,,,,,,
22,,,,,,,,,,,,,,,Scott Grimes,,1190s|archer|england|king of england|robin hood,,,,,,,,,,,
23,,,,,,,,,,,,,,,James Nesbitt,,dwarf|elf|lake town|mountain|sword and sorcery,,,,,,,,,,,
24,,,,,,,,,,,,,,,Kristin Scott Thomas,,children|epic|friend|girl|quest,,,,,,,,,,,
25,,,,,,,,,,,,,,,Evan Parke,,animal name in title|ape abducts a woman|gorilla|island|king kong,,,,,,,,,,,
26,,,,,,,,,,,,,,,Gloria Stuart,,artist|love|ship|titanic|wet,,,,,,,,,,,
27,,,,,,,,,,,,,,,Chris Evans,,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,,,,,,,,,,,
28,,,,,,,,,,,,,,,Tadanobu Asano,,box office flop|hawaii|naval|oahu hawaii|ship,,,,,,,,,,,
29,,,,,,,,,,,,,,,Omar Sy,,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,,,,,,,,,,,
30,,,,,,,,,,,,,,,Rory Kinnear,,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,,,,,,,,,,,
31,,,,,,,,,,,,,,,Kirsten Dunst,,death|doctor|scientist|super villain|tentacle,,,,,,,,,,,
32,,,,,,,,,,,,,,,Don Cheadle,,armor|explosion|human bomb|missile attack|terrorist,,,,,,,,,,,
33,,,,,,,,,,,,,,,Anne Hathaway,,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,,,,,,,,,,,
34,,,,,,,,,,,,,,,Daniel Cudmore,,battle|mutant|outrage|walking through a wall|x men,,,,,,,,,,,
35,,,,,,,,,,,,,,,Sean Hayes,,cheating|fraternity|monster|singing in a car|university,,,,,,,,,,,
36,,,,,,,,,,,,,,,Ramon Rodriguez,,autobot|decepticon|machine|sun|symbol,,,,,,,,,,,
37,,,,,,,,,,,,,,,Kelsey Grammer,,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,,,,,,,,,,,
38,,,,,,,,,,,,,,,James Franco,,circus|magic|magician|oz|witch,,,,,,,,,,,
39,,,,,,,,,,,,,,,B.J. Novak,,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,,,,,,,,,,,
40,,,,,,,,,,,,,,,James Frain,,arcade|bridge|disappearance|escape|warrior,,,,,,,,,,,
41,,,,,,,,,,,,,,,Eddie Izzard,,best friend|car race|conspiracy|gadget car|spy,,,,,,,,,,,
42,,,,,,,,,,,,,,,Taika Waititi,,autopsy|lantern|planet|ring|test pilot,,,,,,,,,,,
43,,,,,,,,,,,,,,,Don Rickles,,college|day care|escape|teddy bear|toy,,,,,,,,,,,
44,,,,,,,,,,,,,,,Common,,death row|future|machine|rescue|skynet,,,,,,,,,,,
45,,,,,,,,,,,,,,,Vin Diesel,,car falling off a cliff|hospital|revenge|star died before release|terrorist,,,,,,,,,,,
46,,,,,,,,,,,,,,,Mireille Enos,,chaos|disease|infection|pandemic|zombie,,,,,,,,,,,
47,,,,,,,,,,,,,,,Hugh Jackman,,dystopia|super strength|supernatural power|time paradox|time travel,,,,,,,,,,,
48,,,,,,,,,,,,,,,Noel Clarke,,admiral|captain|manhunt|mission|space,,,,,,,,,,,
49,,,,,,,,,,,,,,,Ralph Brown,,bean|giant|king|no opening credits|princess,,,,,,,,,,,
