,Movie Title,Director,Actor 1,Actor 2,Actor 3,Budget,Profit / Loss,IMDB Rating,Profitable
0,Avatar ,James Cameron,CCH Pounder,Joel David Moore,Wes Studi,237000000.0,523505847,7.9,1
1,Pirates of the Caribbean: At World's End ,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,300000000.0,9404152,7.1,1
2,Spectre ,Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,245000000.0,-44925825,6.8,0
3,The Dark Knight Rises ,Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,250000000.0,198130642,8.5,1
4,John Carter ,Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,263700000.0,-190641321,6.6,0
5,Spider-Man 3 ,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,258000000.0,78530303,6.2,1
6,Tangled ,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,260000000.0,-59192738,7.8,0
7,Avengers: Age of Ultron ,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,250000000.0,208991599,7.5,1
8,Harry Potter and the Half-Blood Prince ,David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,250000000.0,51956980,7.5,1
9,Batman v Superman: Dawn of Justice ,Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,250000000.0,80249062,6.9,1
10,Superman Returns ,Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,209000000.0,-8930592,6.1,0
11,Quantum of Solace ,Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,200000000.0,-31631573,6.7,0
12,Pirates of the Caribbean: Dead Man's Chest ,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,225000000.0,198032628,7.3,1
13,The Lone Ranger ,Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,215000000.0,-125710090,6.5,0
14,Man of Steel ,Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,225000000.0,66021565,7.2,1
15,The Chronicles of Narnia: Prince Caspian ,Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,225000000.0,-83385977,6.6,0
16,The Avengers ,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,220000000.0,403279547,8.1,1
