Actors,Awards,BoxOffice,Country,DVD,Director,Episode,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Season,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,seriesID,totalSeasons
"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang",Won 3 Oscars. Another 85 wins & 128 nominations.,"$749,700,000","UK, USA",22 Apr 2010,James Cameron,,"Action, Adventure, Fantasy, Sci-Fi","English, Spanish",83,A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,https://m.media-amazon.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",18 Dec 2009,True,162 min,,Avatar,movie,http://www.avatarmovie.com/,James Cameron,2009,tt0499549,7.8,"1,033,303",,
"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley",Nominated for 2 Oscars. Another 20 wins & 44 nominations.,"$309,404,152",USA,04 Dec 2007,Gore Verbinski,,"Action, Adventure, Fantasy",English,50,"Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.",https://m.media-amazon.com/images/M/MV5BMjIyNjkxNzEyMl5BMl5BanBnXkFtZTYwMjc3MDE3._V1_SX300.jpg,Buena Vista,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",25 May 2007,True,169 min,,Pirates of the Caribbean: At World's End,movie,http://disney.go.com/disneypictures/pirates/atworldsend/,"Ted Elliott, Terry Rossio, Ted Elliott (characters), Terry Rossio (characters), Stuart Beattie (characters), Jay Wolpert (characters)",2007,tt0449088,7.1,"552,467",,
"Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes",Won 1 Oscar. Another 7 wins & 32 nominations.,"$208,777,731","UK, USA",09 Feb 2016,Sam Mendes,,"Action, Adventure, Thriller","English, Spanish, Italian, German, French",60,"A cryptic message from 007's past sends him pitted against a mysterious terrorist organization called Spectre, and learns of its involvement in previous events of his most dangerous missions.",https://m.media-amazon.com/images/M/MV5BOWQ1MDE1NzgtNTQ4OC00ZjliLTllZDAtN2IyOTVmMTc5YjUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Sony Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",06 Nov 2015,True,148 min,,Spectre,movie,http://www.007.com/,"John Logan (screenplay by), Neal Purvis (screenplay by), Robert Wade (screenplay by), Jez Butterworth (screenplay by), John Logan (story by), Neal Purvis (story by), Robert Wade (story by), Ian Fleming (based on characters created by)",2015,tt2379713,6.8,"349,328",,
"Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt",Nominated for 1 BAFTA Film Award. Another 38 wins & 102 nominations.,"$448,130,642","UK, USA",03 Dec 2012,Christopher Nolan,,"Action, Thriller","English, Arabic",78,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.",https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",20 Jul 2012,True,164 min,,The Dark Knight Rises,movie,http://www.thedarkknightrises.com/,"Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Nolan (story), David S. Goyer (story), Bob Kane (characters)",2012,tt1345836,8.4,"1,372,667",,
"Doug Walker, Rob Walker",N/A,,N/A,,Doug Walker,18,Documentary,N/A,N/A,N/A,http://ia.media-imdb.com/images/M/MV5BZmE2OTFhYzEtYmQ5MC00NjI5LTg1N2EtZWQ2ZjliYzBjMzI0XkEyXkFqcGdeQXVyNTY2MzQ3MDE@._V1_SX300.jpg,,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",18 Dec 2015,True,N/A,5,Star Wars: Episode VII - The Force Awakens,episode,,Doug Walker (creator),2015,tt5289954,7.2,6,tt5287754,
"Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe",2 wins & 8 nominations.,"$73,058,679",USA,05 Jun 2012,Andrew Stanton,,"Action, Adventure, Sci-Fi",English,51,"Transported to Barsoom, a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures, he escapes, only to encounter Woola and a princess in desperate need of a savior.",https://m.media-amazon.com/images/M/MV5BMDEwZmIzNjYtNjUwNS00MzgzLWJiOGYtZWMxZGQ5NDcxZjUwXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,Walt Disney Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",09 Mar 2012,True,132 min,,John Carter,movie,http://www.johncarterarrives.com,"Andrew Stanton (screenplay by), Mark Andrews (screenplay by), Michael Chabon (screenplay by), Edgar Rice Burroughs (based on the story ""A Princess of Mars"" by)",2012,tt0401729,6.6,"237,556",,
"Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church",Nominated for 1 BAFTA Film Award. Another 3 wins & 32 nominations.,"$336,530,303",USA,30 Oct 2007,Sam Raimi,,"Action, Adventure, Sci-Fi","English, French",59,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",https://m.media-amazon.com/images/M/MV5BYTk3MDljOWQtNGI2My00OTEzLTlhYjQtOTQ4ODM2MzUwY2IwXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,Sony Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",04 May 2007,True,139 min,,Spider-Man 3,movie,http://www.sonypictures.com/movies/spiderman3/site/,"Sam Raimi (screenplay), Ivan Raimi (screenplay), Alvin Sargent (screenplay), Sam Raimi (screen story), Ivan Raimi (screen story), Stan Lee (Marvel comic book), Steve Ditko (Marvel comic book)",2007,tt0413300,6.2,"455,646",,
"Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman",Nominated for 1 Oscar. Another 9 wins & 40 nominations.,"$200,803,309",USA,29 Mar 2011,"Nathan Greno, Byron Howard",,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",English,71,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",https://m.media-amazon.com/images/M/MV5BMTAxNDYxMjg0MjNeQTJeQWpwZ15BbWU3MDcyNTk2OTM@._V1_SX300.jpg,Walt Disney Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",24 Nov 2010,True,100 min,,Tangled,movie,http://Disney.com/Tangled,"Dan Fogelman (screenplay by), Jacob Grimm (based upon the fairy tale ""Rapunzel"" by), Wilhelm Grimm (based upon the fairy tale ""Rapunzel"" by)",2010,tt0398286,7.8,"362,035",,
"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",7 wins & 45 nominations.,"$429,113,729",USA,02 Oct 2015,Joss Whedon,,"Action, Adventure, Sci-Fi","English, Korean",66,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",https://m.media-amazon.com/images/M/MV5BMTM4OGJmNWMtOTM4Ni00NTE3LTg3MDItZmQxYjc4N2JhNmUxXkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_SX300.jpg,Walt Disney Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",01 May 2015,True,141 min,,Avengers: Age of Ultron,movie,http://marvel.com/avengers,"Joss Whedon, Stan Lee (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by), Joe Simon (character created by: Captain America), Jack Kirby (character created by: Captain America), Jim Starlin (character created by: Thanos)",2015,tt2395427,7.4,"640,793",,
"Daniel Radcliffe, Michael Gambon, Dave Legeno, Elarica Johnson",Nominated for 1 Oscar. Another 8 wins & 35 nominations.,"$301,920,409","UK, USA",08 Dec 2009,David Yates,,"Adventure, Family, Fantasy, Mystery",English,78,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",https://m.media-amazon.com/images/M/MV5BNzU3NDg4NTAyNV5BMl5BanBnXkFtZTcwOTg2ODg1Mg@@._V1_SX300.jpg,Warner Bros. Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",15 Jul 2009,True,153 min,,Harry Potter and the Half-Blood Prince,movie,http://www.harrypotter.com/,"Steve Kloves (screenplay), J.K. Rowling (novel)",2009,tt0417741,7.6,"413,579",,
